Price,y
Ticker,AAPL
Date,
2015-01-31,25.9733943939209
2015-02-28,28.59090232849121
2015-03-31,27.693958282470703
2015-04-30,27.854209899902344
2015-05-31,29.11709213256836
2015-06-30,28.03313446044922
2015-07-31,27.110097885131836
2015-08-31,25.315513610839844
2015-09-30,24.763221740722656
2015-10-31,26.828691482543945
2015-11-30,26.672977447509766
2015-12-31,23.73286247253418
2016-01-31,21.947145462036133
2016-02-29,21.918888092041016
2016-03-31,24.70720100402832
2016-04-30,21.250139236450195
2016-05-31,22.77532958984375
2016-06-30,21.80373764038086
2016-07-31,23.767436981201172
2016-08-31,24.32958984375
2016-09-30,25.923282623291016
2016-10-31,26.03564453125
2016-11-30,25.47324562072754
2016-12-31,26.69482421875
2017-01-31,27.969406127929688
2017-02-28,31.711097717285156
2017-03-31,33.255096435546875
2017-04-30,33.252769470214844
2017-05-31,35.507564544677734
2017-06-30,33.47604751586914
2017-07-31,34.570823669433594
2017-08-31,38.2698974609375
2017-09-30,35.9643669128418
2017-10-31,39.44599151611328
2017-11-30,40.24586868286133
2017-12-31,39.632286071777344
2018-01-31,39.21074676513672
2018-02-28,41.88432312011719
2018-03-31,39.45291519165039
2018-04-30,38.86033248901367
2018-05-31,44.111305236816406
2018-06-30,43.69585037231445
2018-07-31,44.918617248535156
2018-08-31,53.921295166015625
2018-09-30,53.473594665527344
2018-10-31,51.843841552734375
2018-11-30,42.44986343383789
2018-12-31,37.49603271484375
2019-01-31,39.5640983581543
2019-02-28,41.33563995361328
2019-03-31,45.34626007080078
2019-04-30,47.90541076660156
2019-05-31,41.9549446105957
2019-06-30,47.43085479736328
2019-07-31,51.054317474365234
2019-08-31,50.213897705078125
2019-09-30,53.877593994140625
2019-10-31,59.840999603271484
2019-11-30,64.48191833496094
2019-12-31,70.85169219970703
2020-01-31,74.67839813232422
2020-02-29,66.1126480102539
2020-03-31,61.500545501708984
2020-04-30,71.05612182617188
2020-05-31,77.10257720947266
2020-06-30,88.46643829345703
2020-07-31,103.07505798339844
2020-08-31,125.39790344238281
2020-09-30,112.54135131835938
2020-10-31,105.78752136230469
2020-11-30,115.88951110839844
2020-12-31,129.1674041748047
2021-01-31,128.45675659179688
2021-02-28,118.21720886230469
2021-03-31,119.08489990234375
2021-04-30,128.16127014160156
2021-05-31,121.68951416015625
2021-06-30,133.75009155273438
2021-07-31,142.44149780273438
2021-08-31,148.49371337890625
2021-09-30,138.39071655273438
2021-10-31,146.50828552246094
2021-11-30,161.9036102294922
2021-12-31,173.92153930664062
2022-01-31,171.18885803222656
2022-02-28,161.93341064453125
2022-03-31,171.24026489257812
2022-04-30,154.60757446289062
2022-05-31,146.1820526123047
2022-06-30,134.27847290039062
2022-07-31,159.60792541503906
2022-08-31,154.6268768310547
2022-09-30,135.9205780029297
2022-10-31,150.8108673095703
2022-11-30,145.8299560546875
2022-12-31,127.99897003173828
2023-01-31,142.14553833007812
2023-02-28,145.44090270996094
2023-03-31,162.69728088378906
2023-04-30,167.41343688964844
2023-05-31,175.12423706054688
2023-06-30,191.6436767578125
2023-07-31,194.0939483642578
2023-08-31,185.86749267578125
2023-09-30,169.3850860595703
2023-10-31,168.94976806640625
2023-11-30,188.1728973388672
2023-12-31,190.728759765625
2024-01-31,182.67481994628906
2024-02-29,179.28746032714844
2024-03-31,170.09246826171875
2024-04-30,168.9517822265625
2024-05-31,190.95306396484375
2024-06-30,209.19912719726562
2024-07-31,220.58181762695312
2024-08-31,227.7184295654297
2024-09-30,231.696044921875
2024-10-31,224.64572143554688
2024-11-30,236.26145935058594
2024-12-31,249.29251098632812
2025-01-31,234.93743896484375
2025-02-28,241.01583862304688
2025-03-31,221.37301635742188
2025-04-30,211.7758331298828
2025-05-31,200.4280242919922
2025-06-30,204.7389373779297
2025-07-31,207.1339111328125
2025-08-31,231.91517639160156
2025-09-30,254.38340759277344
2025-10-31,270.108154296875
2025-11-30,275.9200134277344
